Gaji,Pengalaman,Pendidikan,managemen
13876,1,S1,Y
11608,1,S3,N
18701,1,S3,Y
11283,1,S2,N
11767,1,S3,N
20872,2,S2,Y
11772,2,S2,N
10535,2,S1,N
12195,2,S3,N
12313,3,S2,N
14975,3,S1,Y
21371,3,S2,Y
19800,3,S3,Y
11417,4,S1,N
20263,4,S3,Y
13231,4,S3,N
12884,4,S2,N
13245,5,S2,N
13677,5,S3,N
15965,5,S1,Y
12336,6,S1,N
21352,6,S3,Y
13839,6,S2,N
22884,6,S2,Y
16978,7,S1,Y
14803,8,S2,N
17404,8,S1,Y
22184,8,S3,Y
13548,8,S1,N
14467,10,S1,N
15942,10,S2,N
23174,10,S3,Y
23780,10,S2,Y
25410,11,S2,Y
14861,11,S1,N
16882,12,S2,N
24170,12,S3,Y
15990,13,S1,N
26330,13,S2,Y
17949,14,S2,N
25685,15,S3,Y
27837,16,S2,Y
18838,16,S2,N
17483,16,S1,N
19207,17,S2,N
19346,20,S1,N
